Date,"Close Price","20 Day MA","50 Day MA"
2015-11-09,290.65,261.64,241.98
2015-11-10,296.25,264.52,243.35
2015-11-11,297,267.26,244.76
2015-11-13,296.3,269.97,246.28
2015-11-16,296.25,272.65,247.73
2015-11-17,294.15,274.98,249.28
2015-11-18,286.3,276.95,250.60
2015-11-19,294.4,279.38,252.07
2015-11-20,293.45,281.44,253.48
2015-11-23,294.25,283.58,255.00
2015-11-24,290.45,285.90,256.40
2015-11-26,298.2,287.00,257.85
2015-11-27,305.45,288.69,259.39
2015-11-30,306.9,290.83,260.88
2015-12-01,304,292.76,262.32
2015-12-02,289.2,293.52,263.48
2015-12-03,283.3,293.31,264.50
2015-12-04,283.75,293.21,265.46
2015-12-07,281.8,293.24,266.43
2015-12-08,275.15,292.86,267.33
2015-12-09,270.4,291.85,268.14
2015-12-10,278.55,290.96,268.99
2015-12-11,274.05,289.81,269.84
2015-12-14,275.05,288.75,270.74
2015-12-15,285.05,288.19,271.83
2015-12-16,281.75,287.57,272.88
2015-12-17,287.3,287.62,274.04
2015-12-18,286.1,287.21,275.16
2015-12-21,289.05,286.99,276.12
2015-12-22,288.05,286.68,277.06
2015-12-23,290.1,286.66,278.09
2015-12-24,285,286.00,279.02
2015-12-28,285.5,285.00,279.89
2015-12-29,293.3,284.32,280.91
2015-12-30,290.2,283.63,281.87
2015-12-31,289.65,283.66,282.71
2016-01-01,287.1,283.84,283.51
2016-01-04,286.45,283.98,284.32
2016-01-05,286.95,284.24,285.02
2016-01-06,286.55,284.81,285.72
2016-01-07,277.6,285.17,286.39
2016-01-08,284.6,285.47,286.56
2016-01-11,285.85,286.06,286.84
2016-01-12,289.7,286.79,287.36
2016-01-13,288.1,286.95,287.81
2016-01-14,281.4,286.93,287.96
2016-01-15,277.65,286.44,287.76
2016-01-18,274,285.84,287.53
2016-01-19,282.55,285.52,287.55
2016-01-20,274.1,284.82,287.38
2016-01-21,274.2,284.02,287.05
2016-01-22,285.05,284.02,286.83
2016-01-25,288,284.15,286.65
2016-01-27,289.85,283.98,286.52
2016-01-28,291.65,284.05,286.42
2016-01-29,291.5,284.14,286.37
2016-02-01,295.35,284.56,286.55
2016-02-02,293.1,284.89,286.53
2016-02-03,287.45,284.91,286.41
2016-02-04,281.35,284.65,286.15
2016-02-05,288.4,285.19,286.11
2016-02-08,287.05,285.32,285.88
2016-02-09,285.75,285.31,285.49
2016-02-10,286.4,285.14,285.08
2016-02-11,277.95,284.64,284.56
2016-02-12,276.15,284.37,284.30
2016-02-15,285.05,284.74,284.33
2016-02-16,276.7,284.88,284.19
2016-02-17,281.9,284.85,284.19
2016-02-18,284.9,285.39,284.39
2016-02-19,287.45,286.05,284.73
2016-02-22,286.7,286.13,284.89
2016-02-23,280.3,285.75,285.02
2016-02-24,270.35,284.77,284.92
2016-02-25,267.6,283.57,284.58
2016-02-26,264.55,282.22,284.23
2016-02-29,267.7,280.84,283.84
2016-03-01,283.7,280.37,283.79
2016-03-02,287.6,280.38,283.76
2016-03-03,286.95,280.66,283.74
2016-03-04,288.2,280.65,283.70
2016-03-08,282.85,280.44,283.66
2016-03-09,284.6,280.38,283.64
2016-03-10,283.5,280.24,283.45
2016-03-11,288,280.74,283.40
2016-03-14,288.65,281.36,283.38
2016-03-15,285.95,281.41,283.36
2016-03-16,283.9,281.77,283.31
2016-03-17,283,281.82,283.23
2016-03-18,286.8,281.92,283.23
2016-03-21,305.1,282.80,283.78
2016-03-22,317.15,284.32,284.43
2016-03-23,309.3,285.77,284.90
2016-03-28,314.3,287.97,285.40
2016-03-29,315.25,290.35,285.94
2016-03-30,321.5,293.20,286.74
2016-03-31,322.65,295.95,287.64
2016-04-01,324.85,298.00,288.66
2016-04-04,324.3,299.84,289.49
2016-04-05,314.55,301.22,290.30
2016-04-06,316.6,302.64,291.15
2016-04-07,314.4,304.22,291.74
2016-04-08,313.15,305.65,292.24
2016-04-11,315.25,307.23,292.75
2016-04-12,318.65,308.76,293.29
2016-04-13,326.8,310.67,293.99
2016-04-18,333.6,313.06,294.76
2016-04-20,335.9,315.65,295.61
2016-04-21,324.6,317.74,296.36
2016-04-22,331.5,319.97,297.36
2016-04-25,323.1,320.87,298.05
2016-04-26,329.75,321.50,298.91
2016-04-27,327.95,322.43,299.75
2016-04-28,318.7,322.65,300.40
2016-04-29,320,322.89,301.24
2016-05-02,318.7,322.75,302.09
2016-05-03,287.9,321.01,302.15
2016-05-04,289.85,319.26,302.41
2016-05-05,295.25,317.81,302.68
2016-05-06,300,317.08,302.98
2016-05-09,301,316.30,303.25
2016-05-10,298.2,315.49,303.48
2016-05-11,297.35,314.70,303.82
2016-05-12,295.75,313.73,304.33
2016-05-13,296.65,312.63,304.91
2016-05-16,295.85,311.08,305.54
2016-05-17,294.15,309.11,306.07
2016-05-18,296.6,307.14,306.32
2016-05-19,295.9,305.71,306.49
2016-05-20,296.95,303.98,306.69
2016-05-23,295.15,302.58,306.83
2016-05-24,294.35,300.81,307.06
2016-05-25,296.05,299.22,307.29
2016-05-26,298.55,298.21,307.59
2016-05-27,291.95,296.81,307.67
2016-05-30,288.95,295.32,307.67
2016-05-31,285.75,295.21,307.67
2016-06-01,288.6,295.15,307.76
2016-06-02,296.6,295.22,308.04
2016-06-03,297.1,295.07,308.24
2016-06-06,295.45,294.80,308.05
2016-06-07,294.55,294.61,307.60
2016-06-08,290.05,294.25,307.21
2016-06-09,290.4,293.98,306.73
2016-06-10,287,293.50,306.17
2016-06-13,287.95,293.10,305.50
2016-06-14,290.75,292.93,304.86
2016-06-15,291.75,292.69,304.20
2016-06-16,291.5,292.47,303.54
2016-06-17,292.4,292.24,303.10
2016-06-20,292.9,292.13,302.62
2016-06-21,296.15,292.22,302.26
2016-06-22,294.9,292.16,301.89
2016-06-23,295.55,292.01,301.50
2016-06-24,297.2,292.27,301.07
2016-06-27,296.95,292.67,300.47
2016-06-28,297.1,293.24,299.74
2016-06-29,299.7,293.80,299.02
2016-06-30,309.7,294.45,298.72
2016-07-01,310.55,295.12,298.30
2016-07-04,312.9,296.00,298.10
2016-07-05,306.5,296.59,297.63
2016-07-07,299.8,297.08,297.07
2016-07-08,297.5,297.44,296.65
2016-07-11,298.95,298.03,296.23
2016-07-12,304.7,298.87,295.95
2016-07-13,307.65,299.72,296.34
2016-07-14,304.4,300.35,296.63
2016-07-15,306.6,301.10,296.86
2016-07-18,302.85,301.63,296.92
2016-07-19,300.5,302.01,296.91
2016-07-20,302.9,302.35,297.00
2016-07-21,300.25,302.61,297.06
2016-07-22,301.5,302.91,297.17
2016-07-25,300.65,303.08,297.25
2016-07-26,291.4,302.80,297.16
2016-07-27,287.8,302.34,297.04
2016-07-28,290.2,301.86,296.91
2016-07-29,291.4,300.95,296.82
2016-08-01,295.05,300.17,296.78
2016-08-02,299.55,299.51,296.87
2016-08-03,297.45,299.05,296.93
2016-08-04,298.6,299.00,296.98
2016-08-05,303.05,299.27,297.07
2016-08-08,304.1,299.53,297.31
2016-08-09,298.9,299.24,297.51
2016-08-10,295.65,298.64,297.71
2016-08-11,296.75,298.26,297.87
2016-08-12,298.3,297.84,297.91
2016-08-16,298.8,297.64,297.94
2016-08-17,313.1,298.27,298.30
2016-08-18,311.85,298.72,298.64
2016-08-19,311.6,299.29,299.07
2016-08-22,306.3,299.53,299.39
2016-08-23,307,299.84,299.79
2016-08-24,306.65,300.61,300.16
2016-08-25,306.5,301.54,300.48
2016-08-26,303.15,302.19,300.71
2016-08-29,311.7,303.20,301.11
2016-08-30,325.85,304.74,301.78
2016-08-31,325.85,306.06,302.44
2016-09-01,327.5,307.56,303.07
2016-09-02,331.85,309.22,303.81
2016-09-06,333,310.72,304.55
2016-09-07,330.4,312.04,305.22
2016-09-08,337.95,313.99,306.04
2016-09-09,330,315.70,306.70
2016-09-12,320.9,316.91,307.12
2016-09-14,326.15,318.30,307.45
2016-09-15,321.1,319.42,307.66
2016-09-16,338.1,320.67,308.17
2016-09-19,337.05,321.93,308.78
2016-09-20,332.9,323.00,309.44
2016-09-21,333.15,324.34,310.15
2016-09-22,349.25,326.45,311.16
2016-09-23,350.45,328.64,312.07
2016-09-26,347.4,330.68,312.87
2016-09-27,347.75,332.92,313.73
2016-09-28,351.7,334.91,314.64
2016-09-29,348.15,336.03,315.54
2016-09-30,365.6,338.02,316.84
2016-10-03,377.65,340.52,318.34
2016-10-04,377.45,342.80,319.88
2016-10-05,379.55,345.13,321.44
2016-10-06,383.9,347.81,323.11
2016-10-07,386.1,350.22,325.00
2016-10-10,388.9,353.16,327.02
2016-10-13,384.15,356.32,328.90
2016-10-14,390.95,359.56,330.90
2016-10-17,388.3,362.92,332.76
2016-10-18,395.4,365.79,334.68
2016-10-19,391,368.48,336.55
2016-10-20,392.2,371.45,338.42
2016-10-21,395.7,374.58,340.27
2016-10-24,395.25,376.88,342.10
2016-10-25,407.15,379.71,344.26
2016-10-26,399.7,382.33,346.34
2016-10-27,411.4,385.51,348.64
2016-10-28,404.65,388.16,350.76
2016-10-30,410,391.25,352.99
2016-11-01,403.95,393.17,354.80
2016-11-02,400.55,394.31,356.58
2016-11-03,392.25,395.05,358.19
2016-11-04,392.45,395.70,359.91
2016-11-07,390.1,396.01,361.57
2016-11-08,390,396.20,363.24
2016-11-09,379.3,395.72,364.70
2016-11-10,379.2,395.48,366.22
2016-11-11,360.55,393.96,367.20
2016-11-15,347.6,391.92,367.63
2016-11-16,359.2,390.11,368.30
2016-11-17,362.1,388.67,368.99
2016-11-18,362.35,387.17,369.60
2016-11-21,344.65,384.62,369.83
2016-11-22,349.25,382.32,370.21
2016-11-23,354.25,379.68,370.54
2016-11-24,359.2,377.65,371.12
2016-11-25,356,374.88,371.82
2016-11-28,353.8,372.34,372.38
2016-11-29,358.6,369.77,373.12
2016-11-30,372.05,368.17,373.80
2016-12-01,367.7,366.53,374.42
2016-12-02,358.25,364.83,374.92
2016-12-05,357.15,363.06,375.40
2016-12-06,355.55,361.34,375.53
2016-12-07,359.8,359.83,375.72
2016-12-08,363.85,359.06,376.05
2016-12-09,363,358.24,376.35
2016-12-12,366.3,358.53,376.64
2016-12-13,381.95,360.25,377.32
2016-12-14,379.9,361.28,377.60
2016-12-15,378.15,362.09,377.62
2016-12-16,376.5,362.79,377.60
2016-12-19,374.95,364.31,377.50
2016-12-20,369.95,365.34,377.23
2016-12-21,370.4,366.15,376.91
2016-12-22,366.85,366.54,376.47
2016-12-23,370.35,367.25,376.19
2016-12-26,366.3,367.88,375.70
2016-12-27,352.4,367.57,374.98
2016-12-28,353.05,366.62,374.14
2016-12-29,363.3,366.40,373.58
2016-12-30,360.65,366.52,372.95
2017-01-02,366.15,366.97,372.36
2017-01-03,377.4,368.06,372.00
2017-01-04,374.35,368.79,371.35
2017-01-05,384.75,369.83,371.05
2017-01-06,385.4,370.95,370.53
2017-01-09,384.35,371.85,370.12
2017-01-10,383.1,371.91,369.58
2017-01-11,380.95,371.96,369.12
2017-01-12,388.85,372.50,368.89
2017-01-13,383.55,372.85,368.72
2017-01-16,382.9,373.25,368.52
2017-01-17,379.2,373.71,368.31
2017-01-18,383.2,374.35,368.17
2017-01-19,388.55,375.44,368.36
2017-01-20,378.7,375.85,368.35
2017-01-23,380.3,376.56,368.74
2017-01-24,401.2,379.00,369.81
2017-01-25,393,380.99,370.49
2017-01-27,391.65,382.41,371.08
2017-01-30,387.45,383.75,371.58
2017-01-31,385.35,384.71,372.40
2017-02-01,394.1,385.54,373.29
2017-02-02,389.35,386.30,373.99
2017-02-03,391.75,386.65,374.65
2017-02-06,395.95,387.17,375.44
2017-02-07,392.1,387.56,376.21
2017-02-08,397.4,388.28,376.99
2017-02-09,408,389.63,377.71
2017-02-10,411.1,390.74,378.57
2017-02-13,411.45,392.14,379.64
2017-02-14,409.35,393.46,380.68
2017-02-15,410.6,395.03,381.78
2017-02-16,422.1,396.97,383.03
2017-02-17,425.5,398.82,384.26
2017-02-20,425.7,401.17,385.52
2017-02-21,429,403.60,386.77
2017-02-22,426.95,404.89,387.67
2017-02-23,433.35,406.91,388.74
2017-02-27,434.8,409.07,389.87
2017-02-28,428.45,411.12,390.91
2017-03-01,424.85,413.09,391.91
2017-03-02,426.2,414.70,393.03
2017-03-03,429.35,416.70,394.21
2017-03-06,426.7,418.44,395.41
2017-03-07,424.65,419.88,396.50
2017-03-08,417.7,421.16,397.52
2017-03-09,419.9,422.28,398.87
2017-03-10,425.5,423.16,400.32
2017-03-14,435.8,424.39,401.77
2017-03-15,438.45,425.74,403.33
2017-03-16,438.2,427.19,404.77
2017-03-17,442.45,428.78,406.07
2017-03-20,439.75,429.66,407.38
2017-03-21,439.55,430.36,408.48
2017-03-22,432.7,430.72,409.42
2017-03-23,427.4,430.63,410.28
2017-03-24,427.95,430.68,411.18
2017-03-27,428.9,430.46,412.14
2017-03-28,432.3,430.34,413.01
2017-03-29,430.8,430.45,413.95
2017-03-30,434.75,430.95,414.99
2017-03-31,431.6,431.22,416.04
2017-04-03,435.2,431.51,417.08
2017-04-05,450.45,432.70,418.32
2017-04-06,449.7,433.95,419.74
2017-04-07,468.5,436.49,421.50
2017-04-10,475.15,439.26,422.98
2017-04-11,473.5,441.66,424.59
2017-04-12,474.5,443.59,426.25
2017-04-13,474,445.37,427.98
2017-04-17,471.95,447.06,429.71
2017-04-18,468.85,448.38,431.20
2017-04-19,470.85,449.93,432.83
2017-04-20,489.45,452.42,434.79
2017-04-21,482.95,454.94,436.53
2017-04-24,485.45,457.84,438.39
2017-04-25,488.95,460.89,440.23
2017-04-26,502.25,464.56,442.11
2017-04-27,503.05,468.10,443.95
2017-04-28,495.6,471.33,445.63
2017-05-02,494.7,474.33,447.34
2017-05-03,499.15,477.71,449.11
2017-05-04,496.95,480.80,450.61
2017-05-05,492.7,482.91,451.95
2017-05-08,500.8,485.46,453.45
2017-05-09,499.3,487.00,454.86
2017-05-10,497.05,488.10,456.26
2017-05-11,499.25,489.39,457.58
2017-05-12,515.9,491.46,459.20
2017-05-15,524.65,493.99,461.13
2017-05-16,532.8,497.03,463.28
2017-05-17,532.75,500.23,465.42
2017-05-18,529.65,503.17,467.42
2017-05-19,525.1,504.95,469.39
2017-05-22,526.55,507.13,471.43
2017-05-23,525.15,509.11,473.58
2017-05-24,523.6,510.85,475.65
2017-05-25,541.95,512.83,477.98
2017-05-26,534,514.38,479.94
2017-05-29,533.9,516.30,481.85
2017-05-30,540.45,518.58,483.90
2017-05-31,538.1,520.53,485.81
2017-06-01,534.95,522.43,487.71
2017-06-02,541.55,524.87,489.75
2017-06-05,542.15,526.94,491.94
2017-06-06,536.1,528.78,494.12
2017-06-07,536.15,530.73,496.28
2017-06-08,543.75,532.96,498.58
2017-06-09,551.65,534.75,500.96
2017-06-12,552.25,536.13,503.39
2017-06-13,555.75,537.28,505.81
2017-06-14,545.8,537.93,508.10
2017-06-15,542,538.54,510.23
2017-06-16,550.2,539.80,512.23
2017-06-19,551.05,541.02,514.26
2017-06-20,549.2,542.23,515.87
2017-06-21,544.95,543.30,517.27
2017-06-22,542.1,543.30,518.64
2017-06-23,536.55,543.43,519.88
2017-06-27,533.1,543.39,521.06
2017-06-28,535.35,543.14,522.33
2017-06-29,544.6,543.46,523.84
2017-06-30,549.45,544.19,525.42
2017-07-03,552.1,544.71,526.67
2017-07-04,550.55,545.13,528.02
2017-07-05,547.35,545.70,529.26
2017-07-06,553.7,546.57,530.55
2017-07-07,572.1,547.99,531.95
2017-07-10,569.45,548.88,533.28
2017-07-11,566,549.57,534.69
2017-07-12,564.25,549.99,536.08
2017-07-13,571.5,551.28,537.52
2017-07-14,569.4,552.65,538.97
2017-07-17,572.1,553.74,540.56
2017-07-18,571.5,554.77,541.98
2017-07-19,573.65,555.99,543.46
2017-07-20,572.4,557.36,544.97
2017-07-21,570.65,558.79,546.40
2017-07-24,576.95,560.81,547.62
2017-07-25,570.3,562.67,548.53
2017-07-26,570.9,564.44,549.29
2017-07-27,573.55,565.89,550.11
2017-07-28,582.55,567.55,551.17
2017-07-31,582.15,569.05,552.31
2017-08-01,596.6,571.35,553.71
2017-08-02,590.65,573.52,555.02
2017-08-03,586.6,575.16,556.28
2017-08-04,599,576.51,557.42
2017-08-07,602.6,578.17,558.79
2017-08-08,595.5,579.64,560.03
2017-08-09,589.95,580.93,561.02
2017-08-10,578.3,581.27,561.82
2017-08-11,536.4,579.62,561.85
2017-08-14,553.75,578.70,562.09
2017-08-16,585.75,579.41,562.96
2017-08-17,581,579.78,563.86
2017-08-18,583.8,580.35,564.82
2017-08-21,575.15,580.57,565.44
2017-08-22,582.25,580.84,566.06
2017-08-23,584.25,581.54,566.70
2017-08-24,593.4,582.66,567.45
2017-08-28,603.95,584.18,568.61
2017-08-29,594.75,584.79,569.67
2017-08-30,611.5,586.26,570.89
2017-08-31,604.2,586.64,571.96
2017-09-01,608.55,587.53,573.14
2017-09-04,613.8,588.89,574.52
2017-09-05,612.65,589.57,575.93
2017-09-06,618.75,590.38,577.57
2017-09-07,632.5,592.23,579.56
2017-09-08,635.4,594.50,581.56
2017-09-11,639.3,597.55,583.46
2017-09-12,641.3,602.80,585.29
2017-09-13,638,607.01,587.01
2017-09-14,641.05,609.78,588.82
2017-09-15,649.95,613.22,590.87
2017-09-18,663.65,617.22,593.07
2017-09-19,659.35,621.43,594.82
2017-09-20,655.2,625.08,596.53
2017-09-21,650.4,628.38,598.22
2017-09-22,634.25,630.42,599.62
2017-09-25,641.9,632.32,601.03
2017-09-26,647.85,634.98,602.60
2017-09-27,644.6,636.63,604.05
2017-09-28,644,638.62,605.50
2017-09-29,658.5,641.12,607.20
2017-10-03,654.65,643.16,608.84
2017-10-04,653.8,645.22,610.50
2017-10-05,655.05,647.04,612.07
2017-10-06,659.65,648.39,613.85
2017-10-09,675.85,650.41,615.95
2017-10-10,685.8,652.74,618.20
2017-10-11,683.15,654.83,620.21
2017-10-12,696.45,657.75,622.49
2017-10-13,699,660.65,624.54
2017-10-16,700.4,663.18,626.74
2017-10-17,689.1,664.45,628.79
2017-10-18,690.05,665.98,630.61
2017-10-19,685.9,667.52,632.27
2017-10-23,685.6,669.28,634.08
2017-10-24,693.85,672.26,636.15
2017-10-25,693.4,674.83,638.46
2017-10-26,720.6,678.47,642.14
2017-10-27,718.05,682.14,645.43
2017-10-30,722.7,686.08,648.16
2017-10-31,725.3,689.42,651.05
2017-11-01,709,692.14,653.55
2017-11-02,708.2,694.86,656.22
2017-11-03,694.9,696.85,658.47
2017-11-06,706.3,699.18,660.91
2017-11-07,707.85,700.78,663.20
2017-11-08,694.4,701.21,665.01
2017-11-09,694.5,701.78,667.00
2017-11-10,707.9,702.35,668.93
2017-11-13,699.65,702.38,670.84
2017-11-14,701,702.41,672.69
2017-11-15,696.1,702.76,674.34
2017-11-16,705.3,703.52,676.19
2017-11-17,708.6,704.66,677.98
2017-11-20,708.7,705.82,679.51
2017-11-21,708.3,706.54,680.97
2017-11-22,718.75,707.80,682.56
2017-11-23,735.85,708.57,684.45
2017-11-24,739.3,709.63,686.47
2017-11-27,745.25,710.76,688.56
2017-11-28,743.1,711.65,690.42
2017-11-29,735.85,712.99,691.86
2017-11-30,718.8,713.52,693.05
2017-12-01,724.45,715.00,694.44
2017-12-04,725.45,715.96,695.94
2017-12-05,737.3,717.43,698.00
2017-12-06,734.1,719.41,699.84
2017-12-07,748.8,722.13,701.86
2017-12-08,747.2,724.09,703.91
2017-12-11,753.8,726.80,706.11
2017-12-12,760,729.75,708.14
